name,size,duration,duration(s),speed,size_per_sec
xxhash::const_xxh3_128_with_seed,8,700ns,0.0000007,10.90MB/s,11428571.42857143
murmur3_32,8,200ns,0.0000002,38.15MB/s,40000000
murmur3_x64_128,8,200ns,0.0000002,38.15MB/s,40000000
murmur3_x86_128,8,200ns,0.0000002,38.15MB/s,40000000
murmur3_32_of_slice,8,100ns,0.0000001,76.29MB/s,80000000
murmur3_x64_128_of_slice,8,200ns,0.0000002,38.15MB/s,40000000
murmur3_x86_128_of_slice,8,200ns,0.0000002,38.15MB/s,40000000
md5_compute,16,111.8µs,0.0001118,139.76KB/s,143112.70125223615
Blake2b512,16,5.6µs,0.0000056,2.72MB/s,2857142.8571428573
Blake2s256,16,3.8µs,0.0000038,4.02MB/s,4210526.315789473
Sha1,16,1.6µs,0.0000016,9.54MB/s,10000000
Keccak224,16,2.5µs,0.0000025,6.10MB/s,6400000
Keccak256,16,1.8µs,0.0000018,8.48MB/s,8888888.888888888
Keccak384,16,1.4µs,0.0000014,10.90MB/s,11428571.42857143
Keccak512,16,1.6µs,0.0000016,9.54MB/s,10000000
Keccak256Full,16,1.5µs,0.0000015,10.17MB/s,10666666.666666666
Sha3_224,16,900ns,0.0000009,16.95MB/s,17777777.777777776
Sha3_256,16,800ns,0.0000008,19.07MB/s,20000000
Sha3_384,16,900ns,0.0000009,16.95MB/s,17777777.777777776
Sha3_512,16,1µs,0.000001,15.26MB/s,16000000
Sha224,16,500ns,0.0000005,30.52MB/s,32000000
Sha256,16,600ns,0.0000006,25.43MB/s,26666666.666666668
Sha384,16,1.6µs,0.0000016,9.54MB/s,10000000
Sha512,16,800ns,0.0000008,19.07MB/s,20000000
Sha512_224,16,600ns,0.0000006,25.43MB/s,26666666.666666668
Sha512_256,16,500ns,0.0000005,30.52MB/s,32000000
sm3,16,1.8µs,0.0000018,8.48MB/s,8888888.888888888
crc<u16>,16,500ns,0.0000005,30.52MB/s,32000000
crc<u32>,16,400ns,0.0000004,38.15MB/s,40000000
crc<u64>,16,1.3µs,0.0000013,11.74MB/s,12307692.307692308
crc16,16,1.5µs,0.0000015,10.17MB/s,10666666.666666666
crc32fast,16,1.4µs,0.0000014,10.90MB/s,11428571.42857143
crc64,16,600ns,0.0000006,25.43MB/s,26666666.666666668
sha256,16,700ns,0.0000007,21.80MB/s,22857142.85714286
twox_hash::XxHash32,16,100ns,0.0000001,152.59MB/s,160000000
twox_hash::XxHash64,16,200ns,0.0000002,76.29MB/s,80000000
twox_hash::XxHash3_64,16,900ns,0.0000009,16.95MB/s,17777777.777777776
twox_hash::XxHash3_128,16,500ns,0.0000005,30.52MB/s,32000000
seahash,16,200ns,0.0000002,76.29MB/s,80000000
xxhash::xxh32,16,100ns,0.0000001,152.59MB/s,160000000
xxhash::xxh64,16,100ns,0.0000001,152.59MB/s,160000000
xxhash::xxh3_64_with_seed,16,100ns,0.0000001,152.59MB/s,160000000
xxhash::xxh3_128_with_seed,16,200ns,0.0000002,76.29MB/s,80000000
xxhash::const_xxh32,16,0ns,0,infBB/s,inf
xxhash::const_xxh64,16,200ns,0.0000002,76.29MB/s,80000000
xxhash::const_xxh3_64_with_seed,16,300ns,0.0000003,50.86MB/s,53333333.333333336
xxhash::const_xxh3_128_with_seed,16,300ns,0.0000003,50.86MB/s,53333333.333333336
murmur3_32,16,200ns,0.0000002,76.29MB/s,80000000
murmur3_x64_128,16,200ns,0.0000002,76.29MB/s,80000000
murmur3_x86_128,16,100ns,0.0000001,152.59MB/s,160000000
murmur3_32_of_slice,16,100ns,0.0000001,152.59MB/s,160000000
