name,size,duration,duration(s),speed,size_per_sec
murmur3_x64_128,8,223ns,0.000000223,34.21MB/s,35874439.46188341
murmur3_x86_128,8,279ns,0.000000279,27.35MB/s,28673835.12544803
murmur3_32_of_slice,8,152ns,0.000000152,50.19MB/s,52631578.94736842
murmur3_x64_128_of_slice,8,185ns,0.000000185,41.24MB/s,43243243.24324324
murmur3_x86_128_of_slice,8,181ns,0.000000181,42.15MB/s,44198895.02762431
md5_compute,16,550ns,0.00000055,27.74MB/s,29090909.09090909
Blake2b512,16,1.983µs,0.000001983,7.69MB/s,8068582.955118507
Blake2s256,16,1.214µs,0.000001214,12.57MB/s,13179571.663920922
Sha1,16,999ns,0.000000999,15.27MB/s,16016016.016016016
Keccak224,16,1.728µs,0.000001728,8.83MB/s,9259259.25925926
Keccak256,16,1.617µs,0.000001617,9.44MB/s,9894867.03772418
Keccak384,16,1.713µs,0.000001713,8.91MB/s,9340338.58727379
Keccak512,16,1.959µs,0.000001959,7.79MB/s,8167432.36345074
Keccak256Full,16,3.618µs,0.000003618,4.22MB/s,4422332.780541736
Sha3_224,16,1.597µs,0.000001597,9.55MB/s,10018785.222291797
Sha3_256,16,1.636µs,0.000001636,9.33MB/s,9779951.100244498
Sha3_384,16,1.793µs,0.000001793,8.51MB/s,8923591.745677635
Sha3_512,16,1.991µs,0.000001991,7.66MB/s,8036162.732295329
Sha224,16,1.922µs,0.000001922,7.94MB/s,8324661.810613944
Sha256,16,1.009µs,0.000001009,15.12MB/s,15857284.440039644
Sha384,16,1.401µs,0.000001401,10.89MB/s,11420413.990007138
Sha512,16,1.528µs,0.000001528,9.99MB/s,10471204.188481675
Sha512_224,16,1.272µs,0.000001272,12.00MB/s,12578616.352201259
Sha512_256,16,1.31µs,0.00000131,11.65MB/s,12213740.458015267
sm3,16,1.611µs,0.000001611,9.47MB/s,9931719.428926133
crc<u16>,16,479ns,0.000000479,31.86MB/s,33402922.755741127
crc<u32>,16,680ns,0.00000068,22.44MB/s,23529411.76470588
crc<u64>,16,1.338µs,0.000001338,11.40MB/s,11958146.487294469
crc16,16,256ns,0.000000256,59.60MB/s,62500000
crc32fast,16,496ns,0.000000496,30.76MB/s,32258064.51612903
crc64,16,235ns,0.000000235,64.93MB/s,68085106.38297872
sha256,16,1.459µs,0.000001459,10.46MB/s,10966415.352981495
twox_hash::XxHash32,16,141ns,0.000000141,108.22MB/s,113475177.30496454
